Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-csv,RandomForest,0,model1,NONE,0.9158425079305841,0.5909579171747447,0.9334608305867319,[0.95550074 0.22641509],0.9158425079305841,0.4074074074074074,0.9316913604002309,0.6695493839038192,"[4842, 355, 96, 66]"
commons-csv,DT,0,model1,NONE,0.8525844373950364,0.5588037289834085,0.8970579862101511,[0.9188245  0.19878296],0.8525844373950364,0.6049382716049383,0.8603040215508947,0.7326211465779167,"[4471, 726, 64, 98]"
commons-csv,LogisticRegression,0,model1,NONE,0.804254525097966,0.5285987067637926,0.8672827100123438,[0.88907687 0.16812054],0.804254525097966,0.654320987654321,0.8089282278237445,0.7316246077390327,"[4204, 993, 56, 106]"
commons-csv,MLP,0,model1,NONE,0.9695838775891025,0.5042516615900983,0.9555127762963745,[0.98455123 0.0239521 ],0.9695838775891025,0.012345679012345678,0.9994227438907062,0.505884211451526,"[5194, 3, 160, 2]"
commons-csv,RandomForest,0,model2,NONE,0.9544691173726442,0.6584805524504017,0.957198216187321,[0.97642056 0.34054054],0.9544691173726442,0.3888888888888889,0.9720992880507985,0.6804940884698437,"[5052, 145, 99, 63]"
commons-csv,DT,0,model2,NONE,0.9275984325433849,0.6463813171338971,0.9426625843627676,[0.96172815 0.33103448],0.9275984325433849,0.5925925925925926,0.938041177602463,0.7653168850975278,"[4875, 322, 66, 96]"
commons-csv,LogisticRegression,0,model2,NONE,0.8023885053181565,0.5279920089724403,0.8661188712095134,[0.88787718 0.16810683],0.8023885053181564,0.6604938271604939,0.8068116220896672,0.7336527246250805,"[4193, 1004, 55, 107]"
commons-csv,MLP,0,model2,NONE,0.9699570815450643,0.5795295774579249,0.9602039545064817,[0.98470018 0.17435897],0.9699570815450643,0.10493827160493827,0.996921300750433,0.5509297861776856,"[5181, 16, 145, 17]"
commons-csv,RandomForest,0,model3,NONE,0.748833737637619,0.4918539840339947,0.831369349920704,[0.85321701 0.13049096],0.748833737637619,0.6234567901234568,0.7527419665191457,0.6880993783213014,"[3912, 1285, 61, 101]"
commons-csv,DT,0,model3,NONE,0.7430490763202091,0.48969687162555353,0.8275221763494917,[0.84926108 0.13013266],0.743049076320209,0.6358024691358025,0.7463921493169136,0.6910973092263581,"[3879, 1318, 59, 103]"
commons-csv,LogisticRegression,0,model3,NONE,0.41033774958014557,0.31831195012301783,0.5536343982015541,[0.56877729 0.06784661],0.41033774958014557,0.7098765432098766,0.40100057725610927,0.555438560232993,"[2084, 3113, 47, 115]"
commons-csv,MLP,0,model3,NONE,0.9697704795670834,0.49232663887836303,0.9548876813774408,[0.98465328 0.        ],0.9697704795670834,0.0,1.0,0.5,"[5197, 0, 162, 0]"
commons-csv,DT,0,model1,ROS,0.8253405486098153,0.5363055487764293,0.8802647130782724,[0.90239833 0.17021277],0.8253405486098153,0.5925925925925926,0.8325957283047912,0.7125941604486918,"[4327, 870, 66, 96]"
commons-csv,RandomForest,0,model1,ROS,0.859861914536294,0.5707759961443941,0.9017327035348482,[0.92302962 0.21852237],0.8598619145362941,0.6481481481481481,0.8664614200500289,0.7573047840990885,"[4503, 694, 57, 105]"
commons-csv,LogisticRegression,0,model1,ROS,0.8016420974062325,0.5281320384765982,0.8656622214939289,[0.88738214 0.16888194],0.8016420974062325,0.6666666666666666,0.8058495285741775,0.7362580976204219,"[4188, 1009, 54, 108]"
commons-csv,MLP,0,model1,ROS,0.8382160850905019,0.5639933482108044,0.8888666376671048,[0.90977209 0.21821461],0.8382160850905019,0.7469135802469136,0.8410621512411006,0.7939878657440071,"[4371, 826, 41, 121]"
commons-csv,DT,0,model2,ROS,0.9242395969397276,0.6393406481197843,0.9405092828685593,[0.95988935 0.31879195],0.9242395969397276,0.5864197530864198,0.934770059649798,0.7605949063681089,"[4858, 339, 67, 95]"
commons-csv,RandomForest,0,model2,ROS,0.9326366859488711,0.6558415439995944,0.9458256346601454,[0.96448598 0.34719711],0.9326366859488711,0.5925925925925926,0.9432364825861074,0.76791453758935,"[4902, 295, 66, 96]"
commons-csv,LogisticRegression,0,model2,ROS,0.8072401567456615,0.5319227607241566,0.8692033176507449,[0.89090717 0.17293835],0.8072401567456615,0.6666666666666666,0.8116220896671157,0.739144378166891,"[4218, 979, 54, 108]"
commons-csv,MLP,0,model2,ROS,0.9192013435342414,0.6567530806763324,0.9387477463804664,[0.95689398 0.35661218],0.9192013435342414,0.7407407407407407,0.9247642870887051,0.8327525139147229,"[4806, 391, 42, 120]"
