Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-csv,DT,0,model3,ROS,0.727001306213846,0.48188809555199363,0.8167076874354516,[0.83825318 0.12552301],0.7270013062138458,0.6481481481481481,0.7294593034442948,0.6888037257962215,"[3791, 1406, 57, 105]"
commons-csv,RandomForest,0,model3,ROS,0.7271879081918268,0.4819898456268705,0.816834501177333,[0.83838161 0.12559809],0.7271879081918269,0.6481481481481481,0.7296517221473927,0.6888999351477705,"[3792, 1405, 57, 105]"
commons-csv,LogisticRegression,0,model3,ROS,0.3972756111214779,0.3107239052144176,0.540206706289746,[0.55497382 0.06647399],0.3972756111214779,0.7098765432098766,0.3875312680392534,0.5487039056245651,"[2014, 3183, 47, 115]"
commons-csv,MLP,0,model3,ROS,0.7212166448964359,0.4767542809400919,0.812781581655405,[0.83440479 0.11910377],0.7212166448964359,0.6234567901234568,0.7242639984606504,0.6738603942920537,"[3764, 1433, 61, 101]"
commons-csv,RandomForest,0,model1,SMOTE,0.9068856129874977,0.569613308129518,0.9275741122947642,[0.95060873 0.18861789],0.9068856129874977,0.35802469135802467,0.9239946122763133,0.6410096518171691,"[4802, 395, 104, 58]"
commons-csv,DT,0,model1,SMOTE,0.9066990110095167,0.5667654884369474,0.9273227427350065,[0.95052444 0.18300654],0.9066990110095167,0.345679012345679,0.9241870309794112,0.6349330216625452,"[4803, 394, 106, 56]"
commons-csv,LogisticRegression,0,model1,SMOTE,0.7885799589475648,0.5202027022595428,0.8573482829542011,[0.87904345 0.16136195],0.7885799589475648,0.6728395061728395,0.7921878006542236,0.7325136534135315,"[4117, 1080, 53, 109]"
commons-csv,MLP,0,model1,SMOTE,0.8682590035454376,0.575249790064081,0.9067037082574376,[0.92803262 0.22246696],0.8682590035454376,0.6234567901234568,0.875889936501828,0.7496733633126424,"[4552, 645, 61, 101]"
commons-csv,RandomForest,0,model2,SMOTE,0.9464452323194625,0.6054865941423968,0.9500724518745377,[0.9722464  0.23872679],0.9464452323194625,0.2777777777777778,0.96728882047335,0.6225332991255638,"[5027, 170, 117, 45]"
commons-csv,DT,0,model2,SMOTE,0.9108042545250981,0.581975276245979,0.930313989823796,[0.95272943 0.21122112],0.910804254525098,0.3950617283950617,0.9268808928227824,0.6609713106089221,"[4817, 380, 98, 64]"
commons-csv,LogisticRegression,0,model2,SMOTE,0.7979100578466132,0.5231163154566086,0.8632309892357808,[0.88511722 0.16111541],0.7979100578466132,0.6419753086419753,0.8027708293246103,0.7223730689832928,"[4172, 1025, 58, 104]"
commons-csv,MLP,0,model2,SMOTE,0.9279716364993469,0.6645127702777219,0.9438379737786446,[0.96181243 0.36721311],0.9279716364993469,0.691358024691358,0.9353473157590918,0.813352670225225,"[4861, 336, 50, 112]"
commons-csv,RandomForest,0,model3,SMOTE,0.7598432543384959,0.4969710097837467,0.838623501093288,[0.86060869 0.13333333],0.759843254338496,0.6111111111111112,0.7644795074081201,0.6877953092596156,"[3973, 1224, 63, 99]"
commons-csv,DT,0,model3,SMOTE,0.7598432543384959,0.4969710097837467,0.838623501093288,[0.86060869 0.13333333],0.759843254338496,0.6111111111111112,0.7644795074081201,0.6877953092596156,"[3973, 1224, 63, 99]"
commons-csv,LogisticRegression,0,model3,SMOTE,0.42414629595073705,0.3259986528021357,0.5676482289650736,[0.58319827 0.06879903],0.42414629595073705,0.7037037037037037,0.4154319799884549,0.5595678418460792,"[2159, 3038, 48, 114]"
commons-csv,MLP,0,model3,SMOTE,0.7299869378615412,0.48044027889958413,0.8187459945359478,[0.84051582 0.12036474],0.7299869378615413,0.6111111111111112,0.7336925149124495,0.6724018130117804,"[3813, 1384, 63, 99]"
