Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-csv,RandomForest,2,model1,ROS,0.9101760064738014,0.6085330719144509,0.929780364055211,[0.95216548 0.26490066],0.9101760064738014,0.4968944099378882,0.9240903387703889,0.7104923743541386,"[4419, 363, 81, 80]"
commons-csv,LogistRegression,2,model1,ROS,0.7701800525996357,0.5163308436884781,0.8439033637606534,[0.86672924 0.16593245],0.7701800525996358,0.7018633540372671,0.7724801338352154,0.7371717439362412,"[3694, 1088, 48, 113]"
commons-csv,MLP,2,model1,ROS,0.8933845842605705,0.6165367999906967,0.9211352788266697,[0.94236028 0.29071332],0.8933845842605705,0.6708074534161491,0.9008782936010038,0.7858428735085764,"[4308, 474, 53, 108]"
commons-csv,DT,2,model2,ROS,0.943758850900263,0.6722154796185722,0.9511223297391976,[0.97055709 0.37387387],0.943758850900263,0.515527950310559,0.9581764951902969,0.7368522227504279,"[4582, 200, 78, 83]"
commons-csv,RandomForest,2,model2,ROS,0.9488165081934048,0.6861599115631662,0.9545668405831425,[0.97326994 0.39904988],0.9488165081934048,0.5217391304347826,0.9631953157674613,0.742467223101122,"[4606, 176, 77, 84]"
commons-csv,LogistRegression,2,model2,ROS,0.781104592352822,0.5239398783752991,0.8510409362586281,[0.87383396 0.1740458 ],0.7811045923528221,0.7080745341614907,0.7835633626097867,0.7458189483856387,"[3747, 1035, 47, 114]"
commons-csv,MLP,2,model2,ROS,0.9378919684402185,0.682058449665643,0.9486815191869133,[0.96726032 0.39685658],0.9378919684402185,0.6273291925465838,0.9483479715600167,0.7878385820533003,"[4535, 247, 60, 101]"
commons-csv,DT,2,model3,ROS,0.7829253489783532,0.5181986805837349,0.852069295936227,[0.87533403 0.16106333],0.7829253489783532,0.639751552795031,0.787745713090757,0.7137486329428941,"[3767, 1015, 58, 103]"
commons-csv,RandomForest,2,model3,ROS,0.783127655270079,0.5189678712526145,0.8522144893101365,[0.87543574 0.1625    ],0.7831276552700789,0.6459627329192547,0.787745713090757,0.7168542230050059,"[3767, 1015, 57, 104]"
commons-csv,LogistRegression,2,model3,ROS,0.32348776046935057,0.2692201722104228,0.4553898272545989,[0.46836248 0.07007786],0.32348776046935057,0.782608695652174,0.308030112923463,0.5453194042878184,"[1473, 3309, 35, 126]"
commons-csv,MLP,2,model3,ROS,0.7857576370625127,0.5167390223603328,0.8538146781463343,[0.87730275 0.1561753 ],0.7857576370625127,0.6086956521739131,0.7917189460476788,0.7002072991107959,"[3786, 996, 63, 98]"
commons-csv,RandomForest,2,model1,SMOTE,0.955492615820352,0.6630354756905625,0.956508753549359,[0.97695853 0.34911243],0.955492615820352,0.36645962732919257,0.9753241321622752,0.6708918797457338,"[4664, 118, 102, 59]"
commons-csv,DT,2,model1,SMOTE,0.9429496257333603,0.6236131812585056,0.9477189818116142,[0.97030329 0.27692308],0.9429496257333603,0.33540372670807456,0.9634044332915098,0.6494040799997922,"[4607, 175, 107, 54]"
commons-csv,LogistRegression,2,model1,SMOTE,0.7800930608941938,0.5214304106965054,0.850346235287457,[0.87326571 0.16959511],0.7800930608941938,0.6894409937888198,0.7831451275616896,0.7362930606752548,"[3745, 1037, 50, 111]"
commons-csv,MLP,2,model1,SMOTE,0.9306089419380943,0.6499734814162431,0.9429731341662373,[0.9633899  0.33655706],0.9306089419380943,0.5403726708074534,0.9437473860309494,0.7420600284192015,"[4513, 269, 74, 87]"
commons-csv,RandomForest,2,model2,SMOTE,0.9706655876997775,0.7593092273723272,0.9701636619736114,[0.9848564  0.53376206],0.9706655876997775,0.515527950310559,0.9859891258887494,0.7507585380996542,"[4715, 67, 78, 83]"
commons-csv,DT,2,model2,SMOTE,0.9623710297390249,0.7388756347772741,0.9647169249846325,[0.98045397 0.4972973 ],0.9623710297390249,0.5714285714285714,0.9755332496863237,0.7734809105574475,"[4665, 117, 69, 92]"
commons-csv,LogistRegression,2,model2,SMOTE,0.7879830062714951,0.5240253859792008,0.8553886468786008,[0.87847866 0.16957211],0.7879830062714951,0.6645962732919255,0.7921371810957758,0.7283667271938506,"[3788, 994, 54, 107]"
commons-csv,MLP,2,model2,SMOTE,0.9490188144851305,0.7028715858412957,0.9556936226412871,[0.97331074 0.43243243],0.9490188144851305,0.5962732919254659,0.9608950230029276,0.7785841574641967,"[4595, 187, 65, 96]"
commons-csv,RandomForest,2,model3,SMOTE,0.8041675096095489,0.5294010732213952,0.8655662049528378,[0.88899083 0.16981132],0.8041675096095489,0.6149068322981367,0.8105395232120451,0.7127231777550909,"[3876, 906, 62, 99]"
commons-csv,DT,2,model3,SMOTE,0.8053813473599029,0.5288126691954323,0.8662892632799367,[0.88980527 0.16782007],0.8053813473599029,0.6024844720496895,0.8122124634044333,0.7073484677270614,"[3884, 898, 64, 97]"
commons-csv,LogistRegression,2,model3,SMOTE,0.3242969856362533,0.26974588872068916,0.4563340595917637,[0.46933588 0.0701559 ],0.3242969856362533,0.782608695652174,0.308866583019657,0.5457376393359155,"[1477, 3305, 35, 126]"
commons-csv,MLP,2,model3,SMOTE,0.7863645559376896,0.5190900628190983,0.8542530024937283,[0.87760779 0.16057234],0.7863645559376896,0.6273291925465838,0.7917189460476788,0.7095240692971313,"[3786, 996, 60, 101]"
commons-csv,RandomForest,2,model1,ADA,0.9534695529030953,0.6516932349034082,0.9547813386800988,[0.97590109 0.32748538],0.9534695529030953,0.34782608695652173,0.9738603094939355,0.6608431982252286,"[4657, 125, 105, 56]"
commons-csv,DT,2,model1,ADA,0.9188751770180053,0.6106455804488253,0.9345039173624635,[0.95707098 0.26422018],0.9188751770180053,0.4472049689440994,0.9347553324968633,0.6909801507204812,"[4470, 312, 89, 72]"
commons-csv,LogistRegression,2,model1,ADA,0.7701800525996357,0.5151337221993496,0.8438838178143352,[0.86679174 0.1634757 ],0.7701800525996358,0.6894409937888198,0.7728983688833124,0.7311696813360662,"[3696, 1086, 50, 111]"
commons-csv,MLP,2,model1,ADA,0.9198867084766337,0.6337893782104242,0.9363885457911415,[0.95747423 0.31010453],0.9198867084766337,0.5527950310559007,0.9322459222082811,0.7425204766320909,"[4458, 324, 72, 89]"
commons-csv,RandomForest,2,model2,ADA,0.9724863443253086,0.7692191499412275,0.9716976378155192,[0.98580672 0.55263158],0.9724863443253086,0.5217391304347826,0.9876620660811376,0.7547005982579602,"[4723, 59, 77, 84]"
commons-csv,DT,2,model2,ADA,0.9619664171555735,0.729021158466886,0.9638978855889512,[0.98026454 0.47777778],0.9619664171555735,0.5341614906832298,0.9763697197825177,0.7552656052328737,"[4669, 113, 75, 86]"
